"Table 1.7 Occupational employment and job openings data, projected 2014-24, and worker characteristics, 2014(Numbers in thousands)",,,,,,,,,,,
2014 National Employment Matrix title and code,,Employment,,"Employment change, 2014-24",,"Percent self employed, 2014","Job openings due to growth and replacement needs, 2014-24","Median annual wage, 2014 (1)",Typical education needed for entry  ,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Social workers,21-1020,649.3,724.1,74.8,11.5,2.0,231.2,"$45,500",Ñ,Ñ,Ñ
"Child, family, and school social workers",21-1021,305.2,324.2,19.0,6.2,1.5,92.5,"$42,120",Bachelor's degree,None,None
Healthcare social workers,21-1022,160.1,191.0,30.9,19.3,2.7,69.5,"$51,930",Master's degree,None,None
Mental health and substance abuse social workers,21-1023,117.8,140.0,22.3,18.9,2.6,50.7,"$41,380",Bachelor's degree,None,None
"Social workers, all other",21-1029,66.4,68.9,2.5,3.8,1.0,18.5,"$59,100",Bachelor's degree,None,None
Miscellaneous community and social service specialists,21-1090,696.8,768.3,71.6,10.3,0.2,208.2,"$35,110",Ñ,Ñ,Ñ
Health educators,21-1091,61.4,68.9,7.5,12.2,0.6,19.5,"$50,430",Bachelor's degree,None,None
Probation officers and correctional treatment specialists,21-1092,91.7,95.0,3.3,3.6,Ñ,21.3,"$49,060",Bachelor's degree,None,Short-term on-the-job training
Social and human service assistants,21-1093,386.6,430.8,44.2,11.4,0.1,120.0,"$29,790",High school diploma or equivalent,None,Short-term on-the-job training
Community health workers,21-1094,54.3,62.4,8.1,14.9,0.6,18.8,"$34,870",High school diploma or equivalent,None,Short-term on-the-job training
"Community and social service specialists, all other",21-1099,102.7,111.1,8.4,8.2,0.5,28.6,"$41,420",Master's degree,None,None
Religious workers,21-2000,432.0,454.0,22.0,5.1,0.2,120.0,"$41,220",Ñ,Ñ,Ñ
Clergy,21-2011,244.2,258.0,13.8,5.6,0.0,66.3,"$43,950",Bachelor's degree,None,Moderate-term on-the-job training
"Directors, religious activities and education",21-2021,131.9,137.5,5.7,4.3,0.6,41.2,"$38,480",Bachelor's degree,Less than 5 years,None
"Religious workers, all other",21-2099,55.9,58.5,2.6,4.7,Ñ,12.5,"$29,620",Bachelor's degree,None,None
Legal occupations,23-0000,"1,268.2","1,332.8",64.6,5.1,15.4,283.8,"$76,860",Ñ,Ñ,Ñ
"Lawyers, judges, and related workers",23-1000,844.2,887.7,43.5,5.1,19.8,169.1,"$111,820",Ñ,Ñ,Ñ
Lawyers and judicial law clerks,23-1010,791.1,834.1,43.1,5.4,20.9,160.4,"$113,360",Ñ,Ñ,Ñ
Lawyers,23-1011,778.7,822.5,43.8,5.6,21.3,157.7,"$114,970",Doctoral or professional degree,None,None
Judicial law clerks,23-1012,12.4,11.6,-0.8,-6.3,Ñ,2.7,"$48,640",Doctoral or professional degree,None,None
"Judges, magistrates, and other judicial workers",23-1020,53.2,53.6,0.4,0.7,2.6,8.7,"$93,040",Ñ,Ñ,Ñ
"Administrative law judges, adjudicators, and hearing officers",23-1021,15.0,14.5,-0.5,-3.6,Ñ,2.2,"$87,980",Doctoral or professional degree,5 years or more,Short-term on-the-job training
"Arbitrators, mediators, and conciliators",23-1022,8.4,9.2,0.8,9.2,16.5,2.0,"$57,180",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
"Judges, magistrate judges, and magistrates",23-1023,29.7,29.9,0.2,0.6,Ñ,4.5,"$115,140",Doctoral or professional degree,5 years or more,Short-term on-the-job training
Legal support workers,23-2000,424.0,445.1,21.1,5.0,6.6,114.7,"$48,130",Ñ,Ñ,Ñ
Paralegals and legal assistants,23-2011,279.5,300.8,21.2,7.6,1.7,82.7,"$48,350",Associate's degree,None,None
Miscellaneous legal support workers,23-2090,144.4,144.3,-0.1,-0.1,16.1,32.1,"$47,690",Ñ,Ñ,Ñ
Court reporters,23-2091,20.8,21.1,0.3,1.5,8.0,4.9,"$49,860",Postsecondary nondegree award,None,Short-term on-the-job training
"Title examiners, abstractors, and searchers",23-2093,71.1,70.8,-0.2,-0.3,23.0,15.6,"$43,080",High school diploma or equivalent,None,Short-term on-the-job training
"Legal support workers, all other",23-2099,52.6,52.4,-0.2,-0.4,10.0,11.6,"$53,740",High school diploma or equivalent,None,Short-term on-the-job training
"Education, training, and library occupations",25-0000,"9,216.1","9,913.7",697.6,7.6,2.1,"2,661.1","$46,660",Ñ,Ñ,Ñ
Postsecondary teachers,25-1000,"1,869.4","2,088.8",219.4,11.7,0.2,550.6,"$63,010",Ñ,Ñ,Ñ
"Business teachers, postsecondary",25-1011,106.8,116.2,9.4,8.8,0.2,28.3,"$74,090",Doctoral or professional degree,None,None
"Math and computer teachers, postsecondary",25-1020,106.9,121.1,14.2,13.3,0.1,33.1,"$67,790",Ñ,Ñ,Ñ
"Computer science teachers, postsecondary",25-1021,43.4,47.2,3.8,8.7,0.2,11.5,"$72,010",Doctoral or professional degree,None,None
"Mathematical science teachers, postsecondary",25-1022,63.5,73.9,10.4,16.4,0.1,21.7,"$65,190",Doctoral or professional degree,None,None
"Engineering and architecture teachers, postsecondary",25-1030,55.0,61.9,6.9,12.5,0.1,16.6,"$90,950",Ñ,Ñ,Ñ
"Architecture teachers, postsecondary",25-1031,9.1,9.9,0.8,9.4,Ñ,2.5,"$73,720",Doctoral or professional degree,None,None
"Engineering teachers, postsecondary",25-1032,46.0,52.0,6.0,13.2,0.1,14.2,"$94,130",Doctoral or professional degree,None,None
"Life sciences teachers, postsecondary",25-1040,78.7,90.0,11.3,14.4,0.1,25.3,"$76,660",Ñ,Ñ,Ñ
"Agricultural sciences teachers, postsecondary",25-1041,12.1,12.8,0.7,6.0,Ñ,2.9,"$86,260",Doctoral or professional degree,None,None
"Biological science teachers, postsecondary",25-1042,64.3,74.8,10.4,16.2,0.2,21.8,"$74,580",Doctoral or professional degree,None,None
"Forestry and conservation science teachers, postsecondary",25-1043,2.3,2.4,0.2,6.8,Ñ,0.6,"$84,090",Doctoral or professional degree,None,None
"Physical sciences teachers, postsecondary",25-1050,64.2,72.7,8.5,13.2,0.1,19.8,"$77,180",Ñ,Ñ,Ñ
"Atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051,13.2,14.3,1.1,8.7,Ñ,3.5,"$81,780",Doctoral or professional degree,None,None
"Chemistry teachers, postsecondary",25-1052,26.6,30.7,4.1,15.4,Ñ,8.8,"$73,080",Doctoral or professional degree,None,None
"Environmental science teachers, postsecondary",25-1053,6.7,7.3,0.6,8.6,Ñ,1.8,"$77,470",Doctoral or professional degree,None,None
"Physics teachers, postsecondary",25-1054,17.7,20.4,2.7,15.0,Ñ,5.8,"$80,720",Doctoral or professional degree,None,None
"Social sciences teachers, postsecondary",25-1060,144.2,163.7,19.5,13.5,0.2,45.0,"$71,430",Ñ,Ñ,Ñ
"Anthropology and archeology teachers, postsecondary",25-1061,7.5,8.2,0.7,9.3,Ñ,2.0,"$74,750",Doctoral or professional degree,None,None
"Area, ethnic, and cultural studies teachers, postsecondary",25-1062,11.6,13.3,1.7,15.1,Ñ,3.8,"$68,950",Doctoral or professional degree,None,None
"Economics teachers, postsecondary",25-1063,17.3,18.9,1.7,9.7,Ñ,4.7,"$90,870",Doctoral or professional degree,None,None
"Geography teachers, postsecondary",25-1064,5.4,5.9,0.4,7.9,Ñ,1.4,"$71,320",Doctoral or professional degree,None,None
"Political science teachers, postsecondary",25-1065,21.6,23.7,2.1,9.7,Ñ,5.9,"$73,790",Doctoral or professional degree,None,None
"Psychology teachers, postsecondary",25-1066,47.3,54.7,7.5,15.8,0.2,15.8,"$68,690",Doctoral or professional degree,None,None
"Sociology teachers, postsecondary",25-1067,20.7,23.9,3.2,15.3,Ñ,6.8,"$67,880",Doctoral or professional degree,None,None
"Social sciences teachers, postsecondary, all other",25-1069,12.9,15.1,2.2,17.0,Ñ,4.5,"$65,320",Doctoral or professional degree,None,None
"Health teachers, postsecondary",25-1070,279.0,332.2,53.2,19.1,0.2,102.6,"$80,490",Ñ,Ñ,Ñ
"Health specialties teachers, postsecondary",25-1071,210.4,250.4,40.0,19.0,0.2,77.2,"$90,210",Doctoral or professional degree,Less than 5 years,None
"Nursing instructors and teachers, postsecondary",25-1072,68.6,81.8,13.2,19.3,0.2,25.4,"$66,100",Master's degree,Less than 5 years,None
"Education and library science teachers, postsecondary",25-1080,81.3,88.6,7.3,9.0,0.2,21.7,"$60,250",Ñ,Ñ,Ñ
"Education teachers, postsecondary",25-1081,75.7,82.5,6.9,9.1,0.2,20.3,"$59,720",Doctoral or professional degree,Less than 5 years,None
"Library science teachers, postsecondary",25-1082,5.6,6.0,0.4,8.0,Ñ,1.4,"$66,580",Doctoral or professional degree,None,None
"Law, criminal justice, and social work teachers, postsecondary",25-1110,52.2,62.4,10.2,19.5,0.2,19.4,"$68,950",Ñ,Ñ,Ñ
"Criminal justice and law enforcement teachers, postsecondary",25-1111,17.4,21.1,3.7,21.4,Ñ,6.8,"$57,200",Doctoral or professional degree,None,None
"Law teachers, postsecondary",25-1112,21.1,25.7,4.6,21.7,0.3,8.3,"$109,980",Doctoral or professional degree,None,None
"Social work teachers, postsecondary",25-1113,13.7,15.6,1.9,13.9,Ñ,4.3,"$62,440",Doctoral or professional degree,None,None
"Arts, communications, and humanities teachers, postsecondary",25-1120,344.6,381.0,36.5,10.6,0.2,97.4,"$62,480",Ñ,Ñ,Ñ
"Art, drama, and music teachers, postsecondary",25-1121,120.7,133.7,13.0,10.8,0.2,34.4,"$64,300",Master's degree,None,None
"Communications teachers, postsecondary",25-1122,36.0,39.5,3.5,9.7,0.1,9.9,"$62,550",Doctoral or professional degree,None,None
"English language and literature teachers, postsecondary",25-1123,90.8,100.2,9.4,10.4,0.1,25.5,"$60,160",Doctoral or professional degree,None,None
"Foreign language and literature teachers, postsecondary",25-1124,37.2,41.3,4.1,10.9,0.2,10.7,"$59,490",Doctoral or professional degree,None,None
"History teachers, postsecondary",25-1125,29.2,32.1,2.9,10.0,Ñ,8.1,"$66,840",Doctoral or professional degree,None,None
"Philosophy and religion teachers, postsecondary",25-1126,30.7,34.2,3.6,11.6,0.3,9.0,"$63,630",Doctoral or professional degree,None,None
Miscellaneous postsecondary teachers,25-1190,556.4,598.8,42.4,7.6,0.2,141.3,"$46,890",Ñ,Ñ,Ñ
Graduate teaching assistants,25-1191,159.2,169.1,9.9,6.2,0.1,38.0,"$31,570",Bachelor's degree,None,None
"Home economics teachers, postsecondary",25-1192,4.3,3.8,-0.5,-11.6,Ñ,0.8,"$63,390",Master's degree,None,None
"Recreation and fitness studies teachers, postsecondary",25-1193,22.1,24.3,2.2,10.1,Ñ,6.1,"$58,280",Doctoral or professional degree,None,None
"Vocational education teachers, postsecondary",25-1194,138.5,147.6,9.1,6.6,0.3,33.6,"$48,360",Bachelor's degree,Less than 5 years,None
"Postsecondary teachers, all other",25-1199,232.3,254.0,21.7,9.3,0.2,62.8,"$62,330",Doctoral or professional degree,None,None
"Preschool, primary, secondary, and special education school teachers",25-2000,"4,131.9","4,374.1",242.2,5.9,0.2,"1,199.6","$53,160",Ñ,Ñ,Ñ
Preschool and kindergarten teachers,25-2010,600.4,639.5,39.1,6.5,1.2,214.8,"$34,100",Ñ,Ñ,Ñ
"Preschool teachers, except special education",25-2011,441.0,470.6,29.6,6.7,1.5,158.7,"$28,120",Associate's degree,None,None
"Kindergarten teachers, except special education",25-2012,159.4,168.9,9.5,5.9,0.3,56.1,"$50,600",Bachelor's degree,None,Internship/residency
Elementary and middle school teachers,25-2020,"1,999.2","2,115.1",115.9,5.8,Ñ,558.1,"$54,390",Ñ,Ñ,Ñ
"Elementary school teachers, except special education",25-2021,"1,358.0","1,436.3",78.3,5.8,Ñ,378.7,"$54,120",Bachelor's degree,None,Internship/residency
"Middle school teachers, except special and career/technical education",25-2022,627.5,664.2,36.8,5.9,Ñ,175.5,"$54,940",Bachelor's degree,None,Internship/residency
"Career/technical education teachers, middle school",25-2023,13.7,14.6,0.8,5.9,Ñ,3.9,"$54,090",Bachelor's degree,Less than 5 years,Internship/residency
Secondary school teachers,25-2030,"1,041.2","1,097.4",56.2,5.4,Ñ,303.2,"$56,210",Ñ,Ñ,Ñ
"Secondary school teachers, except special and career/technical education",25-2031,961.6,"1,017.5",55.9,5.8,Ñ,284.0,"$56,310",Bachelor's degree,None,Internship/residency
"Career/technical education teachers, secondary school",25-2032,79.6,79.9,0.3,0.4,Ñ,19.2,"$55,200",Bachelor's degree,Less than 5 years,Internship/residency
Special education teachers,25-2050,491.1,522.0,31.0,6.3,0.1,123.5,"$55,890",Ñ,Ñ,Ñ
"Special education teachers, preschool",25-2051,25.5,27.8,2.3,9.0,0.4,7.1,"$54,000",Bachelor's degree,None,Internship/residency
"Special education teachers, kindergarten and elementary school",25-2052,198.1,210.6,12.5,6.3,0.1,49.8,"$54,570",Bachelor's degree,None,Internship/residency
"Special education teachers, middle school",25-2053,93.0,98.5,5.5,5.9,0.1,23.0,"$56,760",Bachelor's degree,None,Internship/residency
"Special education teachers, secondary school",25-2054,134.0,141.9,7.9,5.9,0.1,33.1,"$57,810",Bachelor's degree,None,Internship/residency
"Special education teachers, all other",25-2059,40.4,43.3,2.9,7.2,0.2,10.5,"$54,520",Bachelor's degree,None,Internship/residency
Other teachers and instructors,25-3000,"1,408.7","1,534.2",125.6,8.9,11.8,391.0,"$30,410",Ñ,Ñ,Ñ
Adult basic and secondary education and literacy teachers and instructors,25-3011,77.5,83.0,5.5,7.1,9.1,20.1,"$49,590",Bachelor's degree,None,Internship/residency
Self-enrichment education teachers,25-3021,348.7,402.2,53.5,15.4,21.5,119.2,"$36,020",High school diploma or equivalent,Less than 5 years,None
"Teachers and instructors, all other",25-3099,982.5,"1,049.0",66.5,6.8,8.5,251.7,"$28,600",Bachelor's degree,None,Internship/residency
"Librarians, curators, and archivists",25-4000,276.2,286.2,10.1,3.6,0.9,95.2,"$45,430",Ñ,Ñ,Ñ
"Archivists, curators, and museum technicians",25-4010,31.3,33.4,2.1,6.7,7.7,11.8,"$46,300",Ñ,Ñ,Ñ
Archivists,25-4011,6.9,7.4,0.5,6.8,6.8,2.6,"$49,120",Master's degree,None,None
Curators,25-4012,13.1,14.1,1.0,8.0,8.3,5.1,"$51,280",Master's degree,None,None
Museum technicians and conservators,25-4013,11.3,11.9,0.6,5.2,7.4,4.1,"$39,940",Bachelor's degree,None,None
Librarians,25-4021,143.1,145.7,2.7,1.9,Ñ,29.5,"$56,170",Master's degree,None,None
Library technicians,25-4031,101.8,107.1,5.3,5.2,Ñ,53.9,"$31,680",Postsecondary nondegree award,None,None
"Other education, training, and library occupations",25-9000,"1,530.0","1,630.3",100.3,6.6,1.0,424.7,"$26,430",Ñ,Ñ,Ñ
Audio-visual and multimedia collections specialists,25-9011,10.0,10.8,0.8,7.9,3.7,1.8,"$44,070",Bachelor's degree,Less than 5 years,None
Farm and home management advisors,25-9021,10.8,11.9,1.2,10.9,1.6,2.2,"$46,520",Master's degree,None,None
Instructional coordinators,25-9031,151.1,161.6,10.5,7.0,4.9,25.1,"$61,550",Master's degree,5 years or more,None
Teacher assistants,25-9041,"1,234.1","1,312.8",78.6,6.4,0.2,374.5,"$24,430","Some college, no degree",None,None
"Education, training, and library workers, all other",25-9099,124.0,133.1,9.1,7.4,3.7,21.1,"$37,890",Bachelor's degree,None,None
"Arts, design, entertainment, sports, and media occupations",27-0000,"2,624.2","2,731.7",107.5,4.1,25.3,771.9,"$45,180",Ñ,Ñ,Ñ
Art and design workers,27-1000,773.1,789.7,16.7,2.2,30.2,192.9,"$43,100",Ñ,Ñ,Ñ
Artists and related workers,27-1010,189.3,195.9,6.6,3.5,53.9,42.0,"$65,860",Ñ,Ñ,Ñ
Art directors,27-1011,74.6,76.4,1.8,2.4,55.0,15.8,"$85,610",Bachelor's degree,5 years or more,None
Craft artists,27-1012,10.6,10.6,0.1,0.6,56.0,2.0,"$31,080",No formal educational credential,None,Long-term on-the-job training
"Fine artists, including painters, sculptors, and illustrators",27-1013,26.3,27.1,0.8,3.1,54.5,5.7,"$43,890",Bachelor's degree,None,Long-term on-the-job training
Multimedia artists and animators,27-1014,64.4,68.3,3.9,6.0,54.9,15.9,"$63,630",Bachelor's degree,None,Moderate-term on-the-job training
"Artists and related workers, all other",27-1019,13.4,13.5,0.1,0.4,40.0,2.6,"$58,250",No formal educational credential,None,Long-term on-the-job training
Designers,27-1020,583.8,593.9,10.0,1.7,22.6,150.9,"$39,850",Ñ,Ñ,Ñ
Commercial and industrial designers,27-1021,38.4,39.2,0.8,2.0,22.9,9.9,"$64,620",Bachelor's degree,None,None
Fashion designers,27-1022,23.1,23.8,0.7,2.9,23.2,6.2,"$64,030",Bachelor's degree,None,None
Floral designers,27-1023,58.7,56.7,-2.0,-3.4,23.2,14.0,"$24,750",High school diploma or equivalent,None,Moderate-term on-the-job training
Graphic designers,27-1024,261.6,265.2,3.6,1.4,22.0,65.8,"$45,900",Bachelor's degree,None,None
Interior designers,27-1025,58.9,61.1,2.2,3.8,22.8,16.2,"$48,400",Bachelor's degree,None,None
Merchandise displayers and window trimmers,27-1026,120.8,124.1,3.3,2.8,23.3,32.1,"$26,590",High school diploma or equivalent,None,Moderate-term on-the-job training
Set and exhibit designers,27-1027,13.3,14.2,0.9,6.8,21.8,4.1,"$49,810",Bachelor's degree,None,None
"Designers, all other",27-1029,8.9,9.5,0.6,6.2,22.5,2.7,"$49,310",Bachelor's degree,None,None
"Entertainers and performers, sports and related workers",27-2000,781.7,827.7,46.0,5.9,21.6,298.7,"$39,700",Ñ,Ñ,Ñ
"Actors, producers, and directors",27-2010,192.1,209.8,17.7,9.2,19.8,84.5,"$59,560",Ñ,Ñ,Ñ
Actors,27-2011,69.4,76.1,6.6,9.6,18.3,34.0,Ñ,"Some college, no degree",None,Long-term on-the-job training
Producers and directors,27-2012,122.6,133.8,11.1,9.1,20.7,50.5,"$69,100",Bachelor's degree,Less than 5 years,None
"Athletes, coaches, umpires, and related workers",27-2020,284.1,300.6,16.5,5.8,8.5,112.4,"$30,670",Ñ,Ñ,Ñ
Athletes and sports competitors,27-2021,13.7,14.5,0.8,5.6,12.3,5.4,"$43,350",No formal educational credential,None,Long-term on-the-job training
Coaches and scouts,27-2022,250.6,265.4,14.8,5.9,8.4,99.4,"$30,640",Bachelor's degree,None,None
"Umpires, referees, and other sports officials",27-2023,19.8,20.7,1.0,4.8,7.5,7.6,"$24,090",High school diploma or equivalent,None,Moderate-term on-the-job training
Dancers and choreographers,27-2030,20.1,21.1,1.1,5.3,15.4,7.5,"$35,090",Ñ,Ñ,Ñ
Dancers,27-2031,13.0,13.6,0.6,4.8,15.5,4.8,Ñ,No formal educational credential,None,Long-term on-the-job training
Choreographers,27-2032,7.1,7.5,0.4,6.3,15.2,2.7,"$44,250",High school diploma or equivalent,5 years or more,Long-term on-the-job training
"Musicians, singers, and related workers",27-2040,255.4,264.0,8.6,3.4,34.8,82.7,Ñ,Ñ,Ñ,Ñ
Music directors and composers,27-2041,82.1,84.7,2.6,3.2,26.5,26.4,"$48,180",Bachelor's degree,Less than 5 years,None
Musicians and singers,27-2042,173.3,179.3,6.0,3.5,38.7,56.3,Ñ,No formal educational credential,None,Long-term on-the-job training
"Entertainers and performers, sports and related workers, all other",27-2099,30.0,32.1,2.1,6.8,48.3,11.5,Ñ,No formal educational credential,None,Short-term on-the-job training
Media and communication workers,27-3000,747.9,775.3,27.4,3.7,21.2,198.2,"$52,370",Ñ,Ñ,Ñ
Announcers,27-3010,52.5,46.7,-5.8,-11.0,27.5,15.5,"$29,010",Ñ,Ñ,Ñ
Radio and television announcers,27-3011,42.3,36.3,-6.1,-14.3,27.3,12.2,"$29,790",Bachelor's degree,None,Short-term on-the-job training
Public address system and other announcers,27-3012,10.2,10.5,0.3,2.9,28.1,3.2,"$25,730",High school diploma or equivalent,None,Short-term on-the-job training
"News analysts, reporters and correspondents",27-3020,54.4,49.6,-4.8,-8.9,14.7,17.5,"$37,200",Ñ,Ñ,Ñ
Broadcast news analysts,27-3021,5.1,4.5,-0.6,-12.6,14.3,1.6,"$61,450",Bachelor's degree,None,None
Reporters and correspondents,27-3022,49.3,45.1,-4.2,-8.5,14.8,15.9,"$36,000",Bachelor's degree,None,None
Public relations specialists,27-3031,240.7,255.6,14.9,6.2,3.8,43.6,"$55,680",Bachelor's degree,None,None
Writers and editors,27-3040,305.8,308.0,2.2,0.7,35.5,85.7,"$59,710",Ñ,Ñ,Ñ
Editors,27-3041,117.2,111.0,-6.2,-5.3,13.6,42.5,"$54,890",Bachelor's degree,Less than 5 years,None
Technical writers,27-3042,52.0,57.3,5.3,10.2,5.5,17.2,"$69,030",Bachelor's degree,Less than 5 years,Short-term on-the-job training
Writers and authors,27-3043,136.5,139.7,3.1,2.3,65.7,26.1,"$58,850",Bachelor's degree,None,Moderate-term on-the-job training
Miscellaneous media and communication workers,27-3090,94.5,115.4,21.0,22.2,19.3,36.0,"$44,390",Ñ,Ñ,Ñ
Interpreters and translators,27-3091,61.0,78.5,17.5,28.7,17.1,27.2,"$43,590",Bachelor's degree,None,Short-term on-the-job training
"Media and communication workers, all other",27-3099,33.5,37.0,3.5,10.3,23.4,8.8,"$45,860",High school diploma or equivalent,None,Short-term on-the-job training
Media and communication equipment workers,27-4000,321.6,338.9,17.4,5.4,32.3,82.0,"$41,790",Ñ,Ñ,Ñ
Broadcast and sound engineering technicians and radio operators,27-4010,118.4,126.1,7.7,6.5,8.7,32.2,"$41,420",Ñ,Ñ,Ñ
Audio and video equipment technicians,27-4011,70.9,79.4,8.4,11.9,8.5,21.9,"$41,780",Postsecondary nondegree award,None,Short-term on-the-job training
Broadcast technicians,27-4012,30.1,28.2,-2.0,-6.5,9.0,5.7,"$36,560",Associate's degree,None,Short-term on-the-job training
Radio operators,27-4013,1.2,1.2,0.0,-0.6,Ñ,0.2,"$46,380",High school diploma or equivalent,None,Short-term on-the-job training
Sound engineering technicians,27-4014,16.1,17.4,1.2,7.6,9.4,4.3,"$49,870",Postsecondary nondegree award,None,Short-term on-the-job training
Photographers,27-4021,124.9,128.8,3.9,3.1,60.5,34.5,"$30,490",High school diploma or equivalent,None,Long-term on-the-job training
"Television, video, and motion picture camera operators and editors",27-4030,58.9,65.3,6.4,10.8,28.7,11.7,"$52,470",Ñ,Ñ,Ñ
"Camera operators, television, video, and motion picture",27-4031,25.4,25.9,0.5,2.0,27.6,2.8,"$48,080",Bachelor's degree,None,None
Film and video editors,27-4032,33.5,39.4,5.9,17.6,29.5,8.9,"$57,210",Bachelor's degree,None,None
"Media and communication equipment workers, all other",27-4099,19.4,18.7,-0.6,-3.3,6.8,3.7,"$68,910",High school diploma or equivalent,None,Short-term on-the-job training
Healthcare practitioners and technical occupations,29-0000,"8,236.5","9,584.6","1,348.1",16.4,2.9,"3,161.6","$61,710",Ñ,Ñ,Ñ
Health diagnosing and treating practitioners,29-1000,"5,132.4","5,994.7",862.3,16.8,4.1,"2,073.4","$75,430",Ñ,Ñ,Ñ
Chiropractors,29-1011,45.2,53.1,7.9,17.5,33.9,16.0,"$66,720",Doctoral or professional degree,None,None
Dentists,29-1020,151.5,178.2,26.7,17.6,22.8,57.6,"$154,640",Ñ,Ñ,Ñ
"Dentists, general",29-1021,129.0,152.3,23.3,18.0,23.1,49.6,"$149,540",Doctoral or professional degree,None,None
Oral and maxillofacial surgeons,29-1022,6.8,8.0,1.2,17.9,23.4,2.6,">=$187,200",Doctoral or professional degree,None,Internship/residency
Orthodontists,29-1023,8.2,9.7,1.5,18.3,23.6,3.2,">=$187,200",Doctoral or professional degree,None,Internship/residency
Prosthodontists,29-1024,0.8,1.0,0.1,17.8,23.6,0.3,"$100,280",Doctoral or professional degree,None,Internship/residency
"Dentists, all other specialists",29-1029,6.7,7.3,0.6,8.5,15.4,1.9,"$170,110",Doctoral or professional degree,None,Internship/residency
Dietitians and nutritionists,29-1031,66.7,77.6,11.0,16.4,6.3,16.0,"$56,950",Bachelor's degree,None,Internship/residency
Optometrists,29-1041,40.6,51.6,11.0,27.0,16.8,25.5,"$101,410",Doctoral or professional degree,None,None
Pharmacists,29-1051,297.1,306.2,9.1,3.1,1.4,78.4,"$120,950",Doctoral or professional degree,None,None
Physicians and surgeons,29-1060,708.3,807.6,99.3,14.0,8.8,290.0,">=$187,200",Ñ,Ñ,Ñ
Anesthesiologists,29-1061,33.7,40.8,7.1,21.0,9.9,16.1,">=$187,200",Doctoral or professional degree,None,Internship/residency
